description_id,description_text,language_hint
desc_0000,"opposite the big pharmacy Pharmacie Centrale Kigali, white gate",EN
desc_0001,opposite the terminus Kicukiro Centre Bus Stop,EN
desc_0002,"near the big pharmacy Pharmacie Kimironko, white gate",EN
desc_0003,inyuma ya ibiro Ibiro bya Akarere ka Kicukiro,KIN
desc_0004,behind the building Gasabo District Office,EN
desc_0005,behind the stadium Kigali Arena on KG 11 Ave,EN
desc_0006,hafi ya junction Ahazunguruka ka Sonatubes,KIN
desc_0007,"au-dessus de le terminus Arrêt Centre Kicukiro on KN 3 Rd, red gate",FR
desc_0008,"inyuma ya inyubako Ibitaro bya Kacyiru, green fence",KIN
desc_0009,près de le carrefour Rond-📍Point Vision 2020,FR
desc_0010,near the bus stop Arrêt de Remera,EN
desc_0011,près de le bâtiment Station Total Nyarugenge,FR
desc_0012,behind the offices Kigali Convention Centre,EN
desc_0013,au-dessus de la pharmacie Pharmacie Centrale,FR
desc_0014,next to the school Ecole Primaire Kiimronko,EN
desc_0015,next to the cathedral Nyamirambo Mosqe on RN3,EN
desc_0016,hafi ya ibiro Ibiro Nkuru bya Rwandair,KIN
desc_0017,"près de 🔴le rond-point Carrefour Central de Kigali, red gate",FR
desc_0018,behind the building Kigali Central Post Office,EN
desc_0019,"inyuma ya ibiro Sitasiyo ya Total Nyarugenge, green fence",KIN
desc_0020,au-dessus de la grande pharmacie Pharmacie de Kimironko on KG 11 Ave,FR
desc_0021,inyuma ya ibiro Sitasiyo ya Total Nyarugenge on KG 9 Ave,KIN
desc_0022,"à côté de le bâhient Bureau de Poste Central, yellow wall",FR
desc_0023,"near the building Kicukiro District Office, stage Kicukiro Centre",EN
desc_0024,behind the school Nyarugenge Secondary School,EN
desc_0025,à côté de la grande église Église Restauration,FR
desc_0026,derrière l'église Église Catholique de Kicukiro,FR
desc_0027,"above the offices Kigali Private Hospital, stage Kacyiru",EN
desc_0028,au-dessus de les bureaux Centre de Convention de Kigali on RN4,FR
desc_0029,"derrière le grand marché Marché de Gatenga, yellow wall",FR
desc_0030,opposite the big pharmacy Pharmacie Centrale Kigali,EN
desc_0031,"hafi ya inyubako Ivuriro rya Muhima on KG 9 Ave, white gate",KIN
desc_0032,behind the big market Kanombe Market,EN
desc_0033,hafi ya ibipo Inyubako y'Ibitabo on KG 7 Ave,KIN
desc_0034,au-dessus de l'école Lycée de Kigali,FR
desc_0035,next to the offices Kigal🏪i Public Library on KG 9 Ave,EN
desc_0036,inyuma ya agatehe Remera Bus Stop on KN5 Ave,KIN
desc_0037,"behind the chemist Pharmacie Kimironko on RN3, green fence",EN
desc_0038,"au-dessus de le carrefour Carrefour de Remera, stage Remera",FR
desc_0039,"à côté de l'hôtel ôHel des Mille Collines, red gate",FR
desc_0040,inyuma ya ishuri Ishuri Rikuru rya Kigali,KIN
desc_0041,inyuma ya oteli Oteli ya Marriott on KN 3 Rd,KIN
desc_0042,en face de le marché Cenjre Commercial Kigali Heights on RN3,FR
desc_0043,next to the market Gikondo Market on KG 7 Ave,EN
desc_0044,à côté de la grande église Mosquée de Nyamirambo,FR
desc_0045,derrière le marché Marché de Kanombe on KG 7 Ave,FR
